OBJECTID,CHANGE_NUM,MINOR_CHAN,ACCESSIBIL,ACCESSORY_,STOP_ID,TRANS_LINK,STOP_STATU,STOP_TYPE,AUTH_CODE,AUTH_NAME,TRF_DISTRI,AWNING,BAY_CODE,BEARING_CO,BIKE_RACK,CURB,CURB_HEIGH,CURBPAINT,CURBPAINTL,CURRENT_NE,CF_CROSS_S,CF_DIST_FR,CF_INTERSE,DATE_CREAT,DATE_LAST_,DB_MOD_DAT,DISPLACEME,DIST_FROM_,EFFECTIVE_,FARE_ZONE,FRDOORLAND,FRDOORSIDE,HASTUS_CRO,IMT_CONNEC,IN_SERVICE,INFOSIGN_A,INFOSIGN,INTERSECTI,JURISDICTI,KCM_MANAGE,XCOORD,XCOORD_OFF,YCOORD,YCOORD_OFF,ZIPCODE,ROUTE_LIST,ON_STREET_,ROUTESIGN,ROUTESIGN_,SIGN_MOUNT,SIGNPOST,SIGNPOST_A,SCHEDULE_H,NUM_SHELTE,GISOBJID
"4479","141","2",YES,None,"59038","149474",ACT,REG,ENU,Enumclaw,SE,NO,,E,NO,UNK,"0",YelRed-Stop,"10",CURRENT,Myrtine St,55.30000000000,FS,1997-09-20T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,107.50000000000,55.30000000000,1997-09-20T00:00:00.000Z,"40",Unknown,"0",Myrtine St,,N,None,None,Far side,ENU,YES,1351202.60000000009,"1351202",74912.10000000001,74887.10000000001,"98022","915",Roosevelt Ave,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,None,"0","5376"
"5082","141","2",LTD,None,"58910","259951",ACT,REG,DOT,State Dept. of Transportation,SE,NO,,S,NO,UNK,"0",Unknown,"0",CURRENT,188th Ave SE,255.00000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,255.00000000000,255.00000000000,1986-02-11T00:00:00.000Z,"40",Unknown,"0",188th Ave SE,,N,None,None,Far side,KC,YES,1328054.19999999995,"1328036",82034.60000000001,82017.95000000000,"98022",186 915,Auburn-Enumclaw Rd SE,A1 <=2 rts,KCM,Toward,Light,Band,None,"0","5358"
"5083","141","2",YES,None,"58912","259955",ACT,REG,DOT,State Dept. of Transportation,SE,NO,,N,NO,UNK,"0",Unknown,"10",CURRENT,188th Ave SE,78.10000000000,FS,1986-02-11T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,334.90000000000,78.10000000000,2017-10-07T00:00:00.000Z,"40",Unknown,"0",188th Ave SE,,N,None,None,Far side,KC,YES,1327831.30000000005,"1327850",82282.20000000000,82299.02000000000,"98022",186 915,Auburn-Enumclaw Rd SE,A1 <=2 rts,KCM,Toward,Light,Band,None,"0","5359"
"5084","141","2",YES,None,"58920","259951",ACT,REG,DOT,State Dept. of Transportation,SE,NO,,S,NO,UNK,"0",Unknown,"0",CURRENT,196th Ave SE,73.30000000000,NS,1987-02-07T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,3841.10000000000,73.30000000000,1997-09-20T00:00:00.000Z,"40",Unknown,"0",196th Ave SE,,N,None,None,Near side,KC,YES,1330486.19999999995,"1330473",79404.89999999999,79383.87000000000,"98022",186 915,Auburn-Enumclaw Rd SE,A1 <=2 rts,KCM,Away,2in metal,Cncrt-earth,None,"0","5360"
"5085","141","2",YES,None,"58960","350548",ACT,REG,DOT,State Dept. of Transportation,SE,NO,,E,NO,UNK,"0",None,"0",CURRENT,228th Ave SE,84.60000000000,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,1688.00000000000,84.60000000000,2010-04-17T00:00:00.000Z,"40",Unknown,"0",228th Ave SE,,N,None,None,Near side,KC,YES,1341027.60000000009,"1341028",79012.80000000000,78987.80000000000,"98022",186 915,SE 436th St,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,None,"0","5361"
"5086","141","2",YES,None,"58962","350549",ACT,REG,DOT,State Dept. of Transportation,SE,NO,,W,NO,UNK,"0",Unknown,"0",CURRENT,236th Ave SE,120.30000000000,FS,1986-02-11T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,2530.10000000000,120.30000000000,1986-02-11T00:00:00.000Z,"40",Unknown,"0",236th Ave SE,,N,None,None,Far side,KC,YES,1343641.80000000005,"1343642",78963.39999999999,78988.39999999999,"98022",186 915,SE 436th St,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,None,"0","5362"
"5087","141","2",YES,None,"58964","350548",ACT,REG,DOT,State Dept. of Transportation,SE,NO,,W,NO,UNK,"0",Unknown,"0",CURRENT,228th Ave SE,314.60000000000,FS,1986-02-11T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,1458.00000000000,314.60000000000,2014-11-08T00:00:00.000Z,"40",Unknown,"0",228th Ave SE,,N,None,None,Far side,KC,YES,1340797.60000000009,"1340798",79013.70000000000,79038.70000000000,"98022",186 915,SE 436th St,A1 <=2 rts,KCM,Away,2in metal,Cncrt-earth,None,"0","5363"
"5088","141","2",YES,None,"58965","350546",ACT,REG,DOT,State Dept. of Transportation,SE,NO,,E,NO,UNK,"0",Unknown,"0",CURRENT,236th Ave SE,120.00000000000,FS,1986-02-11T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,120.00000000000,120.00000000000,1986-02-11T00:00:00.000Z,"40",Unknown,"0",236th Ave SE,,N,None,None,Far side,KC,YES,1343882.10000000009,"1343882",78959.00000000000,78934.00999999999,"98022",186 915,SE 436th St,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,None,"0","5364"
"5089","141","2",YES,None,"58980","260000",ACT,REG,ENU,Enumclaw,SE,NO,,E,NO,YES,"6",YelRed-Stop,"10",CURRENT,Farrelly St,80.00000000000,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,574.70000000000,80.00000000000,2011-05-23T00:00:00.000Z,"40",ADA Access,"0",Farrelly St,,N,None,None,Near side,ENU,YES,1348297.00000000000,"1348297",77581.60000000001,77556.60000000001,"98022",186 915,Griffin Ave,A1 <=2 rts,KCM,Away,2in metal,Cncrt-earth,None,"0","5365"
"5090","141","2",LTD,None,"58990","140203",ACT,REG,ENU,Enumclaw,SE,NO,,E,NO,UNK,"0",Unknown,"80",CURRENT,Florence St,89.70000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,89.70000000000,89.70000000000,1960-01-01T00:00:00.000Z,"40",Unknown,"0",Florence St,,N,None,None,Far side,ENU,YES,1349793.69999999995,"1349793",77562.89999999999,77537.89999999999,"98022",186 915,Griffin Ave,A1 <=2 rts,KCM,Away,2in metal,Cncrt-earth,None,"0","5366"
"5091","141","2",UNK,Unknown,"59000","35301",CLO,REG,UNK,Unknown,SE,UNK,,E,NO,UNK,"0",Unknown,"0",CURRENT,Harding St,131.70000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,198.60000000000,131.70000000000,1991-06-08T00:00:00.000Z,"40",Unknown,"0",Harding St,,N,UNK,Unknown,Far side,ENU,UNK,1350564.39999999991,"1350564",77553.30000000000,77528.30000000000,"98022",,Griffin Ave,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014253"
"5092","141","2",YES,None,"59010","8574",ACT,REG,ENU,Enumclaw,SE,NO,,E,NO,UNK,"0",Unknown,"40",CURRENT,Pioneer St,20.00000000000,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,310.90000000000,20.00000000000,1960-01-01T00:00:00.000Z,"40",Unknown,"0",Pioneer St,,N,None,None,Near side,ENU,YES,1351007.00000000000,"1351007",77547.70000000000,77522.70000000000,"98022",186 915,Griffin Ave,A1 <=2 rts,KCM,Away,2in metal,Cncrt-earth,None,"0","5367"
"5616","141","2",UNK,None,"52357","12305",CLO,REG,BLD,Black Diamond,SE,NO,,W,NO,UNK,"0",Unknown,"0",CURRENT,Terrace Pl,38.80000000000,NS,1998-05-30T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,38.80000000000,38.80000000000,2012-06-09T00:00:00.000Z,"40",Unknown,"0",Terrace Pl,,N,None,None,Near side,BLD,UNK,1347214.10000000009,"1347224",115772.70000000000,115795.60000000001,"98010",,Morgan St,Unknown,KCM,Toward,2in metal,Cncrt-earth,None,"0","0"
"5617","141","2",UNK,None,"52358","170077",CLO,REG,BLD,Black Diamond,SE,NO,,E,NO,UNK,"0",None,"0",CURRENT,Baker St,69.30000000000,NS,1998-05-30T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,69.30000000000,69.30000000000,2012-06-09T00:00:00.000Z,"40",Unknown,"0",Baker St,,N,None,None,Near side,BLD,UNK,1350000.00000000000,"1350005",115073.00000000000,115048.39999999999,"98010",,Baker St,Unknown,KCM,Toward,2in metal,Cncrt-earth,Single,"0","0"
"370","141","2",YES,None,"58540","170092",ACT,REG,ENU,Enumclaw,SE,NO,,W,NO,UNK,"0",Unknown,"70",CURRENT,Montgomery Ave,5.60000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,5.60000000000,5.60000000000,2018-11-07T00:00:00.000Z,"40",Unknown,"0",Montgomery Ave,,N,None,None,Far side,ENU,YES,1351782.69999999995,"1351803",77295.70000000000,77309.84000000000,"98022",186 915,Griffin Ave,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,None,"0","5315"
"371","141","2",YES,None,"58550","8574",ACT,REG,ENU,Enumclaw,SE,NO,,W,NO,UNK,"0",Unknown,"60",CURRENT,Pioneer St,70.00000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,260.90000000000,70.00000000000,1960-01-01T00:00:00.000Z,"40",Unknown,"0",Pioneer St,,N,None,None,Far side,ENU,YES,1350957.00000000000,"1350957",77548.39999999999,77573.39999999999,"98022",186 915,Griffin Ave,A1 <=2 rts,KCM,Away,2in metal,Cncrt-earth,None,"0","5316"
"372","141","2",YES,None,"58560","45711",ACT,REG,ENU,Enumclaw,SE,NO,,W,NO,UNK,"0",Unknown,"30",CURRENT,Garfield St,110.00000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,231.50000000000,10.80000000000,1960-01-01T00:00:00.000Z,"40",Unknown,"0",Garfield St,,N,None,None,Far side,ENU,YES,1350265.80000000005,"1350266",77557.00000000000,77582.00000000000,"98022",186 915,Griffin Ave,A1 <=2 rts,KCM,Away,2in metal,Concrete,None,"0","5317"
"373","141","2",YES,None,"58570","80062",ACT,REG,ENU,Enumclaw,SE,NO,,W,NO,UNK,"0",Unknown,"10",CURRENT,Florence St,70.00000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,367.50000000000,70.00000000000,1960-01-01T00:00:00.000Z,"40",Unknown,"0",Florence St,,N,None,None,Far side,ENU,YES,1349634.00000000000,"1349634",77564.89999999999,77589.89999999999,"98022",186 915,Griffin Ave,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,None,"0","5318"
"374","141","2",YES,None,"58580","260000",ACT,REG,ENU,Enumclaw,SE,NO,,W,NO,UNK,"0",Unknown,"50",CURRENT,Farrelly St,59.80000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,594.90000000000,59.80000000000,1960-01-01T00:00:00.000Z,"40",Unknown,"0",Farrelly St,,N,None,None,Far side,ENU,YES,1348317.19999999995,"1348318",77581.39999999999,77606.39999999999,"98022",186 915,Griffin Ave,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,None,"0","5319"
"2579","141","2",LTD,None,"58900","61906",ACT,REG,DOT,State Dept. of Transportation,SE,NO,,S,NO,UNK,"0",Unknown,"0",CURRENT,SE 416th St,202.90000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,202.90000000000,202.90000000000,1986-02-11T00:00:00.000Z,"40",Unknown,"0",SE 416th St,,N,None,None,Far side,KC,YES,1325143.60000000009,"1325120",85670.80000000000,85661.44000000000,"98022",186 915,Auburn-Enumclaw Rd SE,A1 <=2 rts,KCM,Away,2in metal,Cncrt-earth,None,"0","5356"
"7295","141","2",YES,None,"52351","170078",CLO,REG,BLD,Black Diamond,SE,NO,,N,NO,UNK,"0",None,"0",CURRENT,Lawson St,99.50000000000,FS,1996-09-21T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,99.50000000000,99.50000000000,2017-03-11T00:00:00.000Z,"40",Unknown,"0",Lawson St,,N,None,None,Far side,BLD,YES,1350122.10000000009,"1350147",114910.10000000001,114914.80000000000,"98010",,3rd Ave,A1 <=2 rts,KCM,Away,2in metal,Cncrt-earth,None,"0","4399"
"7340","141","2",LTD,None,"52352","99435",INA,REG,BLD,Black Diamond,SE,NO,,S,NO,NO,"0",None,"0",CURRENT,Baker St,67.00000000000,NS,1996-09-21T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,67.00000000000,67.00000000000,2017-03-11T00:00:00.000Z,"40",Unknown,"0",Baker St,,N,Unknown,None,Near side,BLD,YES,1350074.89999999991,"1350050",115154.50000000000,115149.80000000000,"98010",,3rd Ave,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,None,"0","100001272"
"7341","141","2",YES,Off engine,"52353","170077",ACT,RL,BLD,Black Diamond,SE,NO,,W,NO,UNK,"0",YelRed-Stop,"90",CURRENT,3rd Ave,110.00000000000,FS,1998-05-30T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,55.00000000000,55.00000000000,2012-06-09T00:00:00.000Z,"40",Unknown,"0",3rd Ave,,N,None,None,Far side,BLD,YES,1349985.89999999991,"1349982",115070.50000000000,115095.10000000001,"98010",143 143E 633N 907,Baker St,A1 <=2 rts,KCM,Away,2in metal,Cncrt-earth,Single,"1","4400"
"7342","141","2",UNK,None,"52354","12305",CLO,REG,BLD,Black Diamond,SE,NO,,E,NO,UNK,"0",Unknown,"0",CURRENT,Terrace Pl,48.80000000000,FS,1998-05-30T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,48.80000000000,48.80000000000,2012-06-09T00:00:00.000Z,"40",Unknown,"0",Terrace Pl,,N,None,None,Far side,BLD,UNK,1347223.19999999995,"1347213",115768.70000000000,115745.80000000000,"98010",,Morgan St,Unknown,KCM,Away,2in metal,Cncrt-earth,None,"0","0"
"7343","141","2",UNK,None,"52355","75909",CLO,REG,BLD,Black Diamond,SE,NO,,W,NO,UNK,"0",Unknown,"0",CURRENT,Abrams Ave,5.60000000000,FS,1998-05-30T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,5.60000000000,5.60000000000,2012-06-09T00:00:00.000Z,"40",Unknown,"0",Abrams Ave,,N,None,None,Far side,BLD,UNK,1348159.89999999991,"1348168",115516.60000000001,115540.39999999999,"98010",,Morgan St,Unknown,KCM,Away,2in metal,Cncrt-earth,None,"0","0"
"7344","141","2",UNK,None,"52356","148453",CLO,REG,BLD,Black Diamond,SE,NO,,E,NO,UNK,"0",Unknown,"0",CURRENT,Abrams Ave,27.10000000000,NS,1998-05-30T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,402.00000000000,27.10000000000,2012-06-09T00:00:00.000Z,"40",Unknown,"0",Abrams Ave,,N,None,None,Near side,BLD,UNK,1348128.10000000009,"1348123",115523.89999999999,115499.50000000000,"98010",,Morgan St,Unknown,KCM,Toward,2in metal,Cncrt-earth,None,"0","0"
"10956","141","2",UNK,Unknown,"9998","128759",CLO,REG,UNK,Unknown,SE,UNK,,N,NO,UNK,"0",Unknown,"0",CURRENT,Private Rd,250.00000000000,NS,2016-05-11T16:31:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,1599.60000000000,250.00000000000,2017-11-04T00:00:00.000Z,"40",Unknown,"0",Private Rd,,N,UNK,Unknown,Near side,KC,UNK,1371133.60000000009,"1371159",124877.70000000000,124877.70000000000,"98051",,318th Ave SE,Unknown,UNK,,Unknown,Unknown,UNK,"0","100012416"
"10957","141","2",UNK,Unknown,"9999","59118",CLO,REG,UNK,Unknown,SE,UNK,,S,NO,UNK,"0",Unknown,"0",CURRENT,Retreat Kanaskat Rd,250.00000000000,NS,2016-05-11T16:31:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,250.00000000000,250.00000000000,2017-11-04T00:00:00.000Z,"40",Unknown,"0",Retreat Kanaskat Rd,,N,UNK,Unknown,Near side,KC,UNK,1372427.80000000005,"1372403",123343.20000000000,123343.20000000000,"98051",,322nd Ave SE,Unknown,UNK,,Unknown,Unknown,UNK,"0","100012415"
"11636","142","0",UNK,None,"52358","170077",CLO,REG,BLD,Black Diamond,SE,NO,,E,NO,UNK,"0",None,"0",NEXT,Baker St,69.30000000000,NS,1998-05-30T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,69.30000000000,69.30000000000,2012-06-09T00:00:00.000Z,"40",Unknown,"0",Baker St,,N,None,None,Near side,BLD,UNK,1350000.00000000000,"1350005",115073.00000000000,115048.39999999999,"98010",,Baker St,Unknown,KCM,Toward,2in metal,Cncrt-earth,Single,"0","0"
"11923","142","0",YES,None,"52351","170078",CLO,REG,BLD,Black Diamond,SE,NO,,N,NO,UNK,"0",None,"0",NEXT,Lawson St,99.50000000000,FS,1996-09-21T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,99.50000000000,99.50000000000,2017-03-11T00:00:00.000Z,"40",Unknown,"0",Lawson St,,N,None,None,Far side,BLD,YES,1350122.10000000009,"1350147",114910.10000000001,114914.80000000000,"98010",,3rd Ave,A1 <=2 rts,KCM,Away,2in metal,Cncrt-earth,None,"0","4399"
"11924","142","0",LTD,None,"52352","99435",INA,REG,BLD,Black Diamond,SE,NO,,S,NO,NO,"0",None,"0",NEXT,Baker St,67.00000000000,NS,1996-09-21T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,67.00000000000,67.00000000000,2017-03-11T00:00:00.000Z,"40",Unknown,"0",Baker St,,N,Unknown,None,Near side,BLD,YES,1350074.89999999991,"1350050",115154.50000000000,115149.80000000000,"98010",,3rd Ave,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,None,"0","100001272"
"11925","142","0",YES,Off engine,"52353","170077",ACT,RL,BLD,Black Diamond,SE,NO,,W,NO,UNK,"0",YelRed-Stop,"90",NEXT,3rd Ave,110.00000000000,FS,1998-05-30T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,55.00000000000,55.00000000000,2012-06-09T00:00:00.000Z,"40",Unknown,"0",3rd Ave,,N,None,None,Far side,BLD,YES,1349985.89999999991,"1349982",115070.50000000000,115095.10000000001,"98010",143 143E 633N 907,Baker St,A1 <=2 rts,KCM,Away,2in metal,Cncrt-earth,Single,"1","4400"
"11926","142","0",UNK,None,"52354","12305",CLO,REG,BLD,Black Diamond,SE,NO,,E,NO,UNK,"0",Unknown,"0",NEXT,Terrace Pl,48.80000000000,FS,1998-05-30T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,48.80000000000,48.80000000000,2012-06-09T00:00:00.000Z,"40",Unknown,"0",Terrace Pl,,N,None,None,Far side,BLD,UNK,1347223.19999999995,"1347213",115768.70000000000,115745.80000000000,"98010",,Morgan St,Unknown,KCM,Away,2in metal,Cncrt-earth,None,"0","0"
"11971","142","0",UNK,None,"52355","75909",CLO,REG,BLD,Black Diamond,SE,NO,,W,NO,UNK,"0",Unknown,"0",NEXT,Abrams Ave,5.60000000000,FS,1998-05-30T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,5.60000000000,5.60000000000,2012-06-09T00:00:00.000Z,"40",Unknown,"0",Abrams Ave,,N,None,None,Far side,BLD,UNK,1348159.89999999991,"1348168",115516.60000000001,115540.39999999999,"98010",,Morgan St,Unknown,KCM,Away,2in metal,Cncrt-earth,None,"0","0"
"11972","142","0",UNK,None,"52356","148453",CLO,REG,BLD,Black Diamond,SE,NO,,E,NO,UNK,"0",Unknown,"0",NEXT,Abrams Ave,27.10000000000,NS,1998-05-30T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,402.00000000000,27.10000000000,2012-06-09T00:00:00.000Z,"40",Unknown,"0",Abrams Ave,,N,None,None,Near side,BLD,UNK,1348128.10000000009,"1348123",115523.89999999999,115499.50000000000,"98010",,Morgan St,Unknown,KCM,Toward,2in metal,Cncrt-earth,None,"0","0"
"11973","142","0",UNK,None,"52357","12305",CLO,REG,BLD,Black Diamond,SE,NO,,W,NO,UNK,"0",Unknown,"0",NEXT,Terrace Pl,38.80000000000,NS,1998-05-30T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-04T00:00:00.000Z,38.80000000000,38.80000000000,2012-06-09T00:00:00.000Z,"40",Unknown,"0",Terrace Pl,,N,None,None,Near side,BLD,UNK,1347214.10000000009,"1347224",115772.70000000000,115795.60000000001,"98010",,Morgan St,Unknown,KCM,Toward,2in metal,Cncrt-earth,None,"0","0"
"16514","141","2",YES,None,"99411","31143",ACT,REG,BLD,Black Diamond,SE,NO,,N,NO,UNK,"0",Unknown,"0",CURRENT,BlkDiamond-Ravensdl Rd SE,1900.00000000000,FS,1998-10-31T04:30:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,194.60000000000,53.00000000000,2017-09-23T00:00:00.000Z,"40",Unknown,"0",BlkDiamond-Ravensdl Rd SE,,N,None,None,Far side,BLD,YES,1349346.69999999995,"1349371",119969.20000000000,119976.39999999999,"98010",143 143E 907,SR 169,A1 <=2 rts,KCM,Away,2in metal,Cncrt-earth,None,"0","9310"
"16516","141","2",YES,None,"99413","31143",ACT,REG,BLD,Black Diamond,SE,NO,,S,NO,UNK,"0",Unknown,"0",CURRENT,Summit Dr,770.00000000000,FS,1998-10-31T04:30:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,32.50000000000,32.50000000000,1998-10-31T00:00:00.000Z,"40",Unknown,"0",Summit Dr,,N,None,None,Far side,BLD,YES,1349392.80000000005,"1349369",119813.89999999999,119806.70000000000,"98010",143 143E 907,SR 169,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,None,"0","9312"
"16520","141","2",NO,None,"99417","258799",ACT,REG,BLD,Black Diamond,SE,NO,,N,NO,UNK,"0",Unknown,"0",CURRENT,BlkDiamond-Ravensdl Rd SE,190.00000000000,FS,1999-05-19T04:30:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,196.00000000000,196.00000000000,2015-11-17T00:00:00.000Z,"40",Unknown,"0",BlkDiamond-Ravensdl Rd SE,,N,None,None,Far side,BLD,YES,1349826.60000000009,"1349851",118337.00000000000,118343.89999999999,"98010",143 143E 907,SR 169,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,None,"0","9315"
"16521","141","2",NO,None,"99418","258799",ACT,REG,BLD,Black Diamond,SE,NO,,S,NO,UNK,"0",Unknown,"0",CURRENT,BlkDiamond-Ravensdl Rd SE,170.00000000000,NS,1999-05-19T04:30:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,176.00000000000,176.00000000000,2015-11-21T00:00:00.000Z,"40",Unknown,"0",BlkDiamond-Ravensdl Rd SE,,N,None,None,Near side,BLD,YES,1349832.10000000009,"1349808",118317.80000000000,118310.89999999999,"98010",143 143E 907,SR 169,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,None,"0","9316"
"17074","141","2",YES,None,"99474","162736",ACT,REG,ENU,Enumclaw,SE,NO,,W,NO,UNK,"0",YelRed-Stop,"50",CURRENT,Railroad St,230.00000000000,NM,1997-09-20T04:30:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,230.00000000000,230.00000000000,1997-09-20T00:00:00.000Z,"40",Unknown,"0",Railroad St,,N,None,None,Near middle,ENU,YES,1352652.69999999995,"1352669",75140.39999999999,75159.82000000001,"98022",186 915,Monroe Ave,A1 <=2 rts,KCM,Toward,2in metal,Base plate,None,"0","9343"
"17075","141","2",UNK,None,"99475","53970",CLO,REG,ENU,Enumclaw,SE,NO,,S,NO,UNK,"0",Unknown,"10",CURRENT,Monroe Ave,70.00000000000,FS,1997-09-20T04:30:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,302.60000000000,70.00000000000,2009-09-19T00:00:00.000Z,"40",Unknown,"0",Monroe Ave,,N,None,None,Far side,ENU,UNK,1352208.69999999995,"1352189",75385.10000000001,75399.77000000000,"98022",,Cole St,Unknown,KCM,Away,2in metal,Concrete,None,"0","0"
"17076","141","2",YES,None,"99476","149474",ACT,REG,ENU,Enumclaw,SE,NO,,W,NO,UNK,"0",YelRed-Stop,"10",CURRENT,Lafromboise St,65.00000000000,FS,1997-09-20T04:30:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,65.00000000000,65.00000000000,1997-09-20T00:00:00.000Z,"40",Unknown,"0",Lafromboise St,,N,None,None,Far side,ENU,YES,1351245.10000000009,"1351245",74911.60000000001,74936.60000000001,"98022","915",Roosevelt Ave,A1 <=2 rts,KCM,Away,2in metal,Cncrt-earth,None,"0","9345"
"17077","141","2",YES,None,"99477","120783",ACT,REG,ENU,Enumclaw,SE,NO,,W,NO,UNK,"0",YelRed-Stop,"10",CURRENT,Loraine St,77.00000000000,FS,1997-09-20T04:30:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,10.10000000000,10.10000000000,1997-09-20T00:00:00.000Z,"40",Unknown,"0",Loraine St,,N,None,None,Far side,ENU,YES,1349947.80000000005,"1349948",74924.80000000000,74949.80000000000,"98022","915",Roosevelt Ave,A1 <=2 rts,KCM,Away,2in metal,Cncrt-earth,None,"0","9346"
"17078","141","2",YES,None,"99478","22795",ACT,REG,ENU,Enumclaw,SE,NO,,S,NO,UNK,"0",YelRed-Stop,"10",CURRENT,Roosevelt Ave,100.00000000000,FS,1997-09-20T04:30:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,168.20000000000,62.70000000000,1997-09-20T00:00:00.000Z,"40",Unknown,"0",Roosevelt Ave,,N,None,None,Far side,ENU,YES,1349005.19999999995,"1348980",74766.20000000000,74766.52000000000,"98022","915",Semanski St,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,None,"0","9347"
"17079","141","2",YES,None,"99479","67925",ACT,REG,ENU,Enumclaw,SE,NO,,S,NO,UNK,"0",YelRed-Stop,"10",CURRENT,Christianson Ave,114.60000000000,NS,1997-09-20T04:30:00.000Z,2019-01-30T20:33:00.000Z,2019-04-08T00:00:00.000Z,181.80000000000,114.60000000000,1997-09-20T00:00:00.000Z,"40",Unknown,"0",Christianson Ave,,N,None,None,Near side,ENU,YES,1348994.30000000005,"1348969",73911.80000000000,73912.11000000000,"98022","915",Semanski St,A1 <=2 rts,KCM,Away,2in metal,Cncrt-earth,None,"0","9348"
