OBJECTID,CHANGE_NUM,MINOR_CHAN,ACCESSIBIL,ACCESSORY_,STOP_ID,TRANS_LINK,STOP_STATU,STOP_TYPE,AUTH_CODE,AUTH_NAME,TRF_DISTRI,AWNING,BAY_CODE,BEARING_CO,BIKE_RACK,CURB,CURB_HEIGH,CURBPAINT,CURBPAINTL,CURRENT_NE,CF_CROSS_S,CF_DIST_FR,CF_INTERSE,DATE_CREAT,DATE_LAST_,DB_MOD_DAT,DISPLACEME,DIST_FROM_,EFFECTIVE_,FARE_ZONE,FRDOORLAND,FRDOORSIDE,HASTUS_CRO,IMT_CONNEC,IN_SERVICE,INFOSIGN_A,INFOSIGN,INTERSECTI,JURISDICTI,KCM_MANAGE,XCOORD,XCOORD_OFF,YCOORD,YCOORD_OFF,ZIPCODE,ROUTE_LIST,ON_STREET_,ROUTESIGN,ROUTESIGN_,SIGN_MOUNT,SIGNPOST,SIGNPOST_A,SCHEDULE_H,NUM_SHELTE,GISOBJID
"1084","141","2",UNK,Unknown,"51700","89612",CLO,REG,UNK,Unknown,SW,UNK,,E,NO,UNK,"0",Unknown,"0",CURRENT,14th Ave SW,98.60000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,183.10000000000,98.60000000000,1989-06-10T00:00:00.000Z,"1",Unknown,"0",14th Ave SW,,N,UNK,Unknown,Far side,SEA,UNK,1265101.00000000000,"1265102",194423.00000000000,194448.00000000000,"98106",,SW Henderson St,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014518"
"1085","141","2",UNK,None,"51710","831",CLO,REG,SEA,Seattle,SW,NO,,E,NO,YES,"6",YelRed-Stop,"70",CURRENT,12th Ave SW,91.10000000000,FS,1981-09-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,242.00000000000,91.10000000000,2015-10-19T00:00:00.000Z,"1",Unknown,"0",12th Ave SW,,N,None,None,Far side,SEA,UNK,1265638.10000000009,"1265637",194408.39999999999,194383.39999999999,"98106",,SW Henderson St,Unknown,KCM,Away,2in metal,Cncrt-earth,Single,"0","0"
"1086","141","2",UNK,None,"51720","32470",CLO,REG,SEA,Seattle,SW,NO,,E,NO,UNK,"0",Unknown,"70",CURRENT,10th Ave SW,89.70000000000,FS,1981-09-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,225.00000000000,89.70000000000,2015-10-19T00:00:00.000Z,"1",Unknown,"0",10th Ave SW,,N,None,None,Far side,SEA,UNK,1266284.19999999995,"1266283",194388.89999999999,194363.89999999999,"98106",,SW Henderson St,Unknown,KCM,Away,2in metal,Cncrt-earth,Single,"0","0"
"1552","141","2",YES,None,"39830","166202",ACT,REG,SEA,Seattle,SW,NO,,S,NO,YES,"6",YelRed-Stop,"80",CURRENT,SW Webster St,78.90000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,78.90000000000,78.90000000000,1960-01-01T00:00:00.000Z,"1",ADA Access,"72",SW Webster St,,N,None,None,Far side,SEA,YES,1256576.69999999995,"1256552",199251.00000000000,199251.89999999999,"98136","22",California Ave SW,A1 <=2 rts,KCM,Away,2in metal,Cncrt-earth,None,"0","3405"
"1553","141","2",YES,None,"39840","119828",ACT,REG,SEA,Seattle,SW,NO,,E,NO,YES,"6",YelRed-Stop,"85",CURRENT,California Ave SW,85.00000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,576.60000000000,85.00000000000,2007-06-02T00:00:00.000Z,"1",ADA Access,"60",California Ave SW,,N,None,None,Far side,SEA,YES,1256649.19999999995,"1256649",198797.00000000000,198772.00000000000,"98136","22",SW Ida St,A1 <=2 rts,KCM,Away,2in metal,Cncrt-earth,None,"0","3406"
"1554","141","2",YES,None,"39850","119828",ACT,REG,SEA,Seattle,SW,NO,,E,NO,UNK,"0",Unknown,"50",CURRENT,41st Ave SW,40.00000000000,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,40.00000000000,40.00000000000,1960-01-01T00:00:00.000Z,"1",Unknown,"0",41st Ave SW,,N,None,None,Near side,SEA,YES,1257185.60000000009,"1257185",198782.20000000001,198757.20000000001,"98136","22",SW Ida St,A1 <=2 rts,KCM,Away,2in metal,Unknown,None,"0","3407"
"1555","141","2",YES,None,"39860","67702",ACT,REG,SEA,Seattle,SW,NO,,S,NO,UNK,"0",Unknown,"80",CURRENT,SW Portland St,89.90000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,89.90000000000,89.90000000000,1960-01-01T00:00:00.000Z,"1",Unknown,"0",SW Portland St,,N,None,None,Far side,SEA,YES,1257209.10000000009,"1257184",198163.00000000000,198163.89999999999,"98136","22",41st Ave SW,A1 <=2 rts,KCM,Away,2in metal,Unknown,None,"0","3408"
"1556","141","2",YES,None,"39870","121905",ACT,REG,SEA,Seattle,SW,NO,,S,NO,UNK,"0",Unknown,"40",CURRENT,SW Monroe St,50.00000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,50.00000000000,50.00000000000,1960-01-01T00:00:00.000Z,"1",Unknown,"0",SW Monroe St,,N,None,None,Far side,SEA,YES,1257196.19999999995,"1257171",197668.20000000001,197668.79999999999,"98136","22",41st Ave SW,A1 <=2 rts,KCM,Away,2in metal,Unknown,None,"0","3409"
"1557","141","2",YES,None,"39880","11786",ACT,REG,SEA,Seattle,SW,NO,,S,NO,UNK,"0",Unknown,"80",CURRENT,SW Southern St,90.00000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,90.00000000000,90.00000000000,1960-01-01T00:00:00.000Z,"1",Unknown,"0",SW Southern St,,N,None,None,Far side,SEA,YES,1257181.60000000009,"1257157",197086.70000000001,197087.29999999999,"98136","22",41st Ave SW,A1 <=2 rts,KCM,Away,2in metal,Unknown,None,"0","3410"
"1558","141","2",YES,None,"39890","65862",ACT,REG,SEA,Seattle,SW,NO,,E,NO,UNK,"0",Unknown,"50",CURRENT,41st Ave SW,99.90000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,350.00000000000,99.90000000000,1960-01-01T00:00:00.000Z,"1",Unknown,"0",41st Ave SW,,N,None,None,Far side,SEA,YES,1257269.80000000005,"1257268",196629.70000000001,196604.70000000001,"98136","22",SW Thistle St,A1 <=2 rts,KCM,Away,2in metal,Unknown,None,"0","3411"
"1559","141","2",YES,None,"39900","89922",ACT,REG,SEA,Seattle,SW,NO,,E,NO,UNK,"0",Unknown,"60",CURRENT,39th Ave SW,27.00000000000,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,27.00000000000,27.00000000000,1960-01-01T00:00:00.000Z,"1",Unknown,"0",39th Ave SW,,N,None,None,Near side,SEA,YES,1257804.80000000005,"1257803",196600.00000000000,196575.00000000000,"98136","22",SW Thistle St,A1 <=2 rts,KCM,Away,2in metal,Unknown,None,"0","3412"
"1560","141","2",YES,None,"39910","59386",ACT,REG,SEA,Seattle,SW,NO,,E,NO,UNK,"0",Unknown,"90",CURRENT,37th Ave SW,32.70000000000,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,32.70000000000,32.70000000000,1960-01-01T00:00:00.000Z,"1",Unknown,"0",37th Ave SW,,N,None,None,Near side,SEA,YES,1258463.69999999995,"1258462",196564.20000000001,196539.20000000001,"98126","22",SW Thistle St,A1 <=2 rts,KCM,Away,2in metal,Unknown,None,"0","3413"
"1561","141","2",YES,None,"39920","7299",ACT,REG,SEA,Seattle,SW,NO,,E,NO,UNK,"0",Unknown,"70",CURRENT,35th Ave SW,120.00000000000,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,120.00000000000,120.00000000000,1960-01-01T00:00:00.000Z,"1",Unknown,"0",35th Ave SW,,N,None,None,Near side,SEA,YES,1259040.69999999995,"1259039",196532.29999999999,196507.29999999999,"98126","22",SW Thistle St,A1 <=2 rts,KCM,Away,2in metal,Unknown,None,"0","3414"
"1562","141","2",YES,None,"39930","460",ACT,REG,SEA,Seattle,SW,NO,,E,NO,UNK,"0",Unknown,"80",CURRENT,34th Ave SW,88.70000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,244.00000000000,88.70000000000,1960-01-01T00:00:00.000Z,"1",Unknown,"0",34th Ave SW,,N,None,None,Far side,SEA,YES,1259583.69999999995,"1259583",196517.00000000000,196492.00000000000,"98126","22",SW Thistle St,A1 <=2 rts,KCM,Away,2in metal,Unknown,None,"0","3415"
"1563","141","2",YES,None,"39940","82157",ACT,REG,SEA,Seattle,SW,NO,,E,NO,UNK,"0",Unknown,"70",CURRENT,31st Ave SW,80.00000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,252.40000000000,80.00000000000,1960-01-01T00:00:00.000Z,"1",Unknown,"0",31st Ave SW,,N,None,None,Far side,SEA,YES,1260239.60000000009,"1260239",196503.50000000000,196478.50000000000,"98126","22",SW Thistle St,A1 <=2 rts,KCM,Away,2in metal,Unknown,None,"0","3416"
"1657","141","2",UNK,Unknown,"47870","135263",CLO,REG,UNK,Unknown,SW,UNK,,W,NO,UNK,"0",Unknown,"0",CURRENT,Access Rd,24.00000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,40.40000000000,24.00000000000,1982-02-15T00:00:00.000Z,"24",Unknown,"0",Access Rd,,N,UNK,Unknown,Far side,KC,UNK,1269208.19999999995,"1269207",187140.20000000001,187165.20000000001,"98146",,SW 112th St,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014674"
"1658","141","2",YES,None,"47872","64139",ACT,REG,KC,King County,SW,NO,,W,NO,UNK,"0",Unknown,"0",CURRENT,1st Ave SW,100.00000000000,FS,1987-06-13T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,27.00000000000,27.00000000000,1987-06-13T00:00:00.000Z,"24",Unknown,"0",1st Ave SW,,N,None,None,Far side,KC,YES,1269157.19999999995,"1269158",187140.00000000000,187165.00000000000,"98146","131",SW 112th St,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,Single,"1","3979"
"1659","141","2",UNK,Unknown,"47873","145088",CLO,REG,UNK,Unknown,SW,UNK,,W,NO,UNK,"0",Unknown,"0",CURRENT,2nd Ln SW,76.60000000000,FM,1987-06-13T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,76.60000000000,76.60000000000,2004-04-01T00:00:00.000Z,"24",Unknown,"0",2nd Ln SW,,N,UNK,Unknown,Far middle,KC,UNK,1268817.00000000000,"1268817",187145.00000000000,187170.00000000000,"98146",,SW 112th St,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014673"
"1660","141","2",UNK,Unknown,"47880","145088",CLO,REG,UNK,Unknown,SW,UNK,,W,NO,UNK,"0",Unknown,"0",CURRENT,Access Rd,10.00000000000,NM,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,300.60000000000,10.00000000000,1982-02-15T00:00:00.000Z,"24",Unknown,"0",Access Rd,,N,UNK,Unknown,Near middle,KC,UNK,1268593.00000000000,"1268593",187143.89999999999,187168.89999999999,"98146",,SW 112th St,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014672"
"1661","141","2",LTD,None,"47890","16887",ACT,REG,KC,King County,SW,NO,,N,NO,UNK,"0",Unknown,"90",CURRENT,SW 110th St,30.00000000000,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,30.00000000000,30.00000000000,1960-01-01T00:00:00.000Z,"24",Unknown,"0",SW 110th St,,N,None,None,Near side,KC,YES,1268269.39999999991,"1268294",187770.79999999999,187770.79999999999,"98146",128 131,4th Ave SW,A1 <=2 rts,KCM,Away,2in metal,Cncrt-earth,None,"0","3980"
"1662","141","2",YES,None,"47900","42471",ACT,REG,KC,King County,SW,NO,,N,NO,UNK,"0",Unknown,"80",CURRENT,SW 108th St,99.50000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,441.00000000000,99.50000000000,1960-01-01T00:00:00.000Z,"24",Unknown,"0",SW 108th St,,N,None,None,Far side,KC,YES,1268266.19999999995,"1268291",188560.50000000000,188560.50000000000,"98146","131",4th Ave SW,A1 <=2 rts,KCM,Away,2in metal,Cncrt-earth,None,"0","3981"
"1663","141","2",UNK,Unknown,"47910","39010",CLO,REG,UNK,Unknown,SW,UNK,,N,NO,UNK,"0",Unknown,"0",CURRENT,SW 106th St,30.40000000000,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,30.40000000000,30.40000000000,2004-04-30T00:00:00.000Z,"24",Unknown,"0",SW 106th St,,N,UNK,Unknown,Near side,KC,UNK,1268263.89999999991,"1268239",189148.00000000000,189148.00000000000,"98146",,4th Ave SW,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014671"
"1664","141","2",YES,None,"47920","113513",ACT,REG,KC,King County,SW,NO,,N,NO,UNK,"0",Unknown,"70",CURRENT,SW 104th St,30.00000000000,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,30.00000000000,30.00000000000,1960-01-01T00:00:00.000Z,"24",Unknown,"0",SW 104th St,,N,None,None,Near side,KC,YES,1268262.39999999991,"1268287",189750.60000000001,189750.89999999999,"98146","131",4th Ave SW,A1 <=2 rts,KCM,Away,2in metal,Cncrt-earth,None,"0","3982"
"1665","141","2",UNK,None,"47930","245547",CLO,REG,KC,King County,SW,NO,,N,NO,UNK,"0",Unknown,"90",CURRENT,SW 102nd St,113.90000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,526.00000000000,113.90000000000,2015-10-10T00:00:00.000Z,"24",Unknown,"0",SW 102nd St,,N,None,None,Far side,KC,UNK,1268213.80000000005,"1268239",190545.89999999999,190547.50000000000,"98146",,4th Ave SW,Unknown,KCM,Away,2in metal,Cncrt-earth,None,"0","0"
"1666","141","2",UNK,Unknown,"47931","41296",ACT,REG,KC,King County,SW,NO,,W,NO,UNK,"0",Unknown,"0",CURRENT,4th Ave SW,129.90000000000,FS,2012-08-17T15:23:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,129.90000000000,129.90000000000,2012-09-29T00:00:00.000Z,"24",Unknown,"0",4th Ave SW,,N,None,None,Far side,KC,YES,1268091.00000000000,"1268091",190431.70000000001,190456.70000000001,"98146","131",SW 102nd St,A1 <=2 rts,KCM,Unknown,Unknown,Unknown,None,"0","100001314"
"1667","141","2",UNK,None,"47940","245547",CLO,REG,KC,King County,SW,NO,,N,NO,UNK,"0",Unknown,"70",CURRENT,SW 100th St,39.00000000000,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,39.00000000000,39.00000000000,2015-10-10T00:00:00.000Z,"24",Unknown,"0",SW 100th St,,N,None,None,Near side,KC,UNK,1268183.69999999995,"1268209",191032.00000000000,191033.60000000001,"98146",,4th Ave SW,Unknown,KCM,Away,2in metal,Cncrt-earth,None,"0","0"
"1668","141","2",UNK,Unknown,"47950","181556",CLO,REG,UNK,Unknown,SW,UNK,,N,NO,UNK,"0",Unknown,"0",CURRENT,SW 98th St,58.60000000000,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,69.90000000000,58.60000000000,2004-04-30T00:00:00.000Z,"24",Unknown,"0",SW 98th St,,N,UNK,Unknown,Near side,KC,UNK,1268136.00000000000,"1268111",191753.00000000000,191751.39999999999,"98106",,4th Ave SW,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014670"
"1723","141","2",YES,None,"51810","94596",ACT,REG,SEA,Seattle,SW,NO,,N,NO,UNK,"0",Unknown,"10",CURRENT,SW Othello St,790.00000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,1357.50000000000,790.00000000000,2006-10-11T00:00:00.000Z,"1",Unknown,"0",SW Othello St,,N,None,None,Far side,SEA,YES,1266685.60000000009,"1266710",200110.20000000001,200104.89999999999,"98106","131",Highland Park Way SW,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,None,"0","4351"
"1728","141","2",UNK,Unknown,"51840","89559",CLO,REG,UNK,Unknown,SW,UNK,,E,NO,UNK,"0",Unknown,"0",CURRENT,2nd Ave SW,39.60000000000,FS,1991-08-31T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,150.00000000000,39.60000000000,1995-08-24T00:00:00.000Z,"1",Unknown,"0",2nd Ave SW,,N,UNK,Unknown,Far side,SEA,UNK,1268961.60000000009,"1268979",199662.60000000001,199680.20000000001,"98106",,West Marginal Way SW,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014514"
"1732","141","2",UNK,Unknown,"51875","44268",CLO,REG,UNK,Unknown,SW,UNK,,N,NO,UNK,"0",Unknown,"0",CURRENT,2nd Ave SW,15.50000000000,NS,1986-09-10T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,529.20000000000,15.50000000000,1991-08-30T00:00:00.000Z,"1",Unknown,"0",2nd Ave SW,,N,UNK,Unknown,Near side,SEA,UNK,1268999.30000000005,"1269024",200060.29999999999,200055.60000000001,"98106",,Highland Park Ramp SW,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014512"
"1857","141","2",YES,None,"51970","63668",ACT,REG,SEA,Seattle,SW,NO,,S,NO,UNK,"0",Unknown,"100",CURRENT,SW Henderson St,100.00000000000,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,569.00000000000,100.00000000000,1960-01-01T00:00:00.000Z,"1",Unknown,"0",SW Henderson St,,N,None,None,Near side,SEA,YES,1266510.69999999995,"1266486",194482.10000000001,194482.70000000001,"98106","131",9th Ave SW,A1 <=2 rts,KCM,Away,2in metal,Band,None,"0","4366"
"1858","141","2",YES,None,"51972","136713",ACT,REG,SEA,Seattle,SW,NO,,S,NO,UNK,"0",Unknown,"100",CURRENT,SW Cambridge St,30.40000000000,NS,2014-06-04T15:14:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,581.70000000000,30.40000000000,2014-06-21T00:00:00.000Z,"1",Unknown,"0",SW Cambridge St,,N,None,None,Near side,SEA,YES,1266802.89999999991,"1266778",193066.39999999999,193067.00000000000,"98106","131",8th Ave SW,A1 <=2 rts,KCM,Away,2in metal,Band,None,"0","100001548"
"1859","141","2",UNK,None,"51980","831",CLO,REG,SEA,Seattle,SW,NO,,W,NO,UNK,"0",Unknown,"70",CURRENT,11th Ave SW,94.60000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,94.60000000000,94.60000000000,2015-10-19T00:00:00.000Z,"1",Unknown,"0",11th Ave SW,,N,None,None,Far side,SEA,UNK,1265785.39999999991,"1265786",194403.89999999999,194428.89999999999,"98106",,SW Henderson St,Unknown,KCM,Away,2in metal,Cncrt-earth,None,"0","0"
"1860","141","2",UNK,Unknown,"51990","89612",CLO,REG,UNK,Unknown,SW,UNK,,W,NO,UNK,"0",Unknown,"0",CURRENT,13th Ave SW,93.00000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,93.00000000000,93.00000000000,1989-06-10T00:00:00.000Z,"1",Unknown,"0",13th Ave SW,,N,UNK,Unknown,Far side,SEA,UNK,1265191.10000000009,"1265192",194420.10000000001,194445.10000000001,"98106",,SW Henderson St,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014508"
"1861","141","2",UNK,None,"52000","76321",CLO,REG,SEA,Seattle,SW,NO,,S,NO,UNK,"0",Unknown,"110",CURRENT,SW Henderson St,106.00000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,106.00000000000,106.00000000000,2015-10-19T00:00:00.000Z,"1",Unknown,"0",SW Henderson St,,N,None,None,Far side,SEA,UNK,1264717.89999999991,"1264693",194329.70000000001,194330.29999999999,"98106",,15th Ave SW,Unknown,KCM,Away,2in metal,Cncrt-earth,None,"0","0"
"1862","141","2",UNK,Unknown,"52010","133225",CLO,REG,UNK,Unknown,SW,UNK,,S,NO,UNK,"0",Unknown,"0",CURRENT,SW Barton St,69.70000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,69.70000000000,69.70000000000,2004-04-30T00:00:00.000Z,"1",Unknown,"0",SW Barton St,,N,UNK,Unknown,Far side,SEA,UNK,1264701.69999999995,"1264677",193697.00000000000,193697.60000000001,"98106",,15th Ave SW,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014507"
"1863","141","2",UNK,None,"52020","28308",CLO,REG,SEA,Seattle,SW,NO,,S,NO,UNK,"0",Unknown,"50",CURRENT,SW Cambridge St,62.00000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,62.00000000000,62.00000000000,2015-10-19T00:00:00.000Z,"1",Unknown,"0",SW Cambridge St,,N,None,None,Far side,SEA,UNK,1264684.30000000005,"1264659",193036.50000000000,193037.39999999999,"98106",,15th Ave SW,Unknown,KCM,Away,2in metal,Cncrt-earth,None,"0","0"
"1864","141","2",YES,None,"52030","159359",ACT,REG,KC,King County,SW,NO,"1",S,NO,UNK,"0",Unknown,"100",CURRENT,SW Roxbury St,158.00000000000,FS,1981-05-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,158.00000000000,158.00000000000,2005-02-18T00:00:00.000Z,"6",Unknown,"0",SW Roxbury St,,N,None,Default,Far side,KC,YES,1264663.69999999995,"1264639",192277.89999999999,192277.89999999999,"98106","120",15th Ave SW,B1H <=14 rts,KCM,Away,2in metal,Base plate,None,"1","4370"
"1865","141","2",UNK,Unknown,"52040","41315",CLO,REG,UNK,Unknown,SW,UNK,,S,NO,UNK,"0",Unknown,"0",CURRENT,SW 98th St,114.70000000000,FS,1981-05-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,114.70000000000,114.70000000000,1991-08-16T00:00:00.000Z,"24",Unknown,"0",SW 98th St,,N,UNK,Unknown,Far side,KC,UNK,1264662.60000000009,"1264688",191647.00000000000,191647.29999999999,"98106",,15th Ave SW,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014506"
"1866","141","2",YES,None,"52050","41315",ACT,REG,KC,King County,SW,NO,,S,NO,YES,"6",YelRed-Stop,"100",CURRENT,SW 100th St,40.00000000000,NS,1981-05-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,626.30000000000,40.00000000000,2011-05-28T00:00:00.000Z,"24",Unknown,"0",SW 100th St,,N,None,None,Near side,KC,YES,1264670.80000000005,"1264646",191135.50000000000,191134.89999999999,"98146","120",15th Ave SW,A1 <=2 rts,KCM,Away,2in metal,Base plate,Single,"1","4371"
"1867","141","2",UNK,Unknown,"52060","99861",CLO,REG,UNK,Unknown,SW,UNK,,S,NO,UNK,"0",Unknown,"0",CURRENT,SW 102nd St,104.30000000000,FS,1981-05-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,104.30000000000,104.30000000000,2004-04-30T00:00:00.000Z,"24",Unknown,"0",SW 102nd St,,N,UNK,Unknown,Far side,KC,UNK,1264664.30000000005,"1264639",190326.00000000000,190326.00000000000,"98146",,15th Ave SW,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014505"
"1868","141","2",YES,None,"52070","69553",ACT,REG,KC,King County,SW,NO,,S,NO,UNK,"0",Unknown,"70",CURRENT,SW 104th St,89.90000000000,FS,1981-05-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,89.90000000000,89.90000000000,1981-05-15T00:00:00.000Z,"24",Unknown,"0",SW 104th St,,N,None,None,Far side,KC,YES,1264677.30000000005,"1264652",189679.89999999999,189680.50000000000,"98146","120",15th Ave SW,A1 <=2 rts,KCM,Toward,2in metal,Base plate,Single,"1","4372"
"3447","141","2",YES,None,"31560","54109",ACT,REG,SEA,Seattle,SW,NO,,W,NO,UNK,"0",Unknown,"10",CURRENT,8th Ave SW,97.90000000000,FS,1981-05-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,97.90000000000,97.90000000000,1981-05-15T00:00:00.000Z,"3",Unknown,"0",8th Ave SW,,N,None,None,Far side,SEA,YES,1266693.69999999995,"1266694",192370.50000000000,192395.50000000000,"98106",60 113 128,SW Roxbury St,A2 <=6 rts,KCM,Away,Light,Base plate,None,"0","2713"
"3448","141","2",UNK,None,"31570","250680",CLO,REG,SEA,Seattle,SW,NO,,W,NO,UNK,"0",Unknown,"10",CURRENT,10th Ave SW,10.00000000000,FS,1981-05-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,9.00000000000,9.00000000000,2011-07-09T00:00:00.000Z,"3",Unknown,"0",10th Ave SW,,N,None,None,Far side,SEA,UNK,1266153.60000000009,"1266154",192385.89999999999,192410.89999999999,"98106",,SW Roxbury St,Unknown,KCM,Away,2in metal,Cncrt-earth,None,"0","0"
"3449","141","2",YES,None,"31580","27370",ACT,REG,SEA,Seattle,SW,NO,,W,NO,UNK,"0",Unknown,"10",CURRENT,12th Ave SW,30.00000000000,NS,1981-05-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,310.00000000000,38.10000000000,1981-05-15T00:00:00.000Z,"6",Unknown,"0",12th Ave SW,,N,None,None,Near side,SEA,YES,1265538.00000000000,"1265539",192403.29999999999,192428.29999999999,"98106",60 113 128,SW Roxbury St,A2 <=6 rts,KCM,Away,2in metal,Cncrt-earth,None,"0","2715"
"3450","141","2",YES,None,"31590","127327",ACT,REG,SEA,Seattle,SW,NO,"4",W,NO,UNK,"0",Unknown,"10",CURRENT,15th Ave SW,114.90000000000,NS,1979-09-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,163.90000000000,114.90000000000,2010-03-10T00:00:00.000Z,"3",Unknown,"0",15th Ave SW,,N,None,None,Near side,SEA,YES,1264779.39999999991,"1264780",192431.70000000001,192456.70000000001,"98106",60 113 128,SW Roxbury St,A2 <=6 rts,KCM,Away,Light,Band,Double,"1","2716"
